Rank,Institution,Location,Continent,Founded,Affiliation,Distance/In-Person[a],Enrollment,Link
1,Indira Gandhi National Open University,"New Delhi, India",Asia,1985,Public,Distance/In-Person,7140000,https://en.wikipedia.org/wiki/India
2,"National University, Bangladesh","Gazipur, Bangladesh",Asia,1992,Public,In-Person,3425832,https://en.wikipedia.org/wiki/Bangladesh
3,Anadolu University,"Eskişehir, Turkey",Asia,1958,Public,Distance/In-Person,1974343,https://en.wikipedia.org/wiki/Turkey
4,California Community Colleges,"California, United States",North America,1967,Public,In-Person,1800000,https://en.wikipedia.org/wiki/United_States
5,Islamic Azad University,Iran,Asia,1982,Private,In-Person,1778000,https://en.wikipedia.org/wiki/Iran
6,Allama Iqbal Open University,"Islamabad, Pakistan",Asia,1974,Public,Distance/In-Person,1027000,https://en.wikipedia.org/wiki/Pakistan
7,"Laureate Education, Inc.",International,Global,1999,Private,Distance/In-Person,875000,https://en.wikipedia.org/wiki/United_States
8,Bangladesh Open University,"Gazipur, Bangladesh",Asia,1992,Public,Distance,650000,https://en.wikipedia.org/wiki/Bangladesh
9,Universitas Terbuka,"Jakarta, Indonesia",Asia,1984,Public,Distance,646467,https://en.wikipedia.org/wiki/Indonesia
10,National Technological Institute of Mexico,Mexico,North America,1948,Public,In-Person,620000,https://en.wikipedia.org/wiki/Mexico
11,Savitribai Phule Pune University,"Pune, Maharashtra, India",Asia,1948,Public,In-Person,665000,https://en.wikipedia.org/wiki/India
12,Chaudhary Charan Singh University,"Meerut, Uttar Pradesh, India",Asia,1965,Public,In-Person,560000,https://en.wikipedia.org/wiki/India
13,University of Mumbai,"Mumbai, Maharashtra, India",Asia,1857,Public,In-Person,549432,https://en.wikipedia.org/wiki/India
14,Ramkhamhaeng University,"Bangkok, Thailand",Asia,1971,Public,In-Person,525000,https://en.wikipedia.org/wiki/Thailand
15,National Open University of Nigeria,Nigeria,Africa,2002,Public,Distance,515000,https://en.wikipedia.org/wiki/Nigeria
16,California State University system,"California, United States",North America,1857,Public,In-Person,457992,https://en.wikipedia.org/wiki/United_States
17,Tribhuvan University,"Kirtipur, Nepal",Asia,1959,Public,In-Person,454065,https://en.wikipedia.org/wiki/Nepal
18,University of the Punjab,"Lahore, Punjab, Pakistan",Asia,1882,Public,In-Person,450000,https://en.wikipedia.org/wiki/Pakistan
19,Dr. B R Ambedkar Open University,"Telangana, India",Asia,1982,Public,Distance,450000,https://en.wikipedia.org/wiki/India
20,State University System of Florida,"Florida, United States",North America,1954,Public,In-Person,430000,https://en.wikipedia.org/wiki/United_States
21,University System of Ohio,"Ohio, United States",North America,2007,Public,In-Person,429310,https://en.wikipedia.org/wiki/United_States
22,University of Delhi,"Delhi, India",Asia,1922,Public,In-Person/Distance,700000,https://en.wikipedia.org/wiki/India
23,Payame Noor University,Iran,Asia,1987,Public,Distance/In-Person,400000,https://en.wikipedia.org/wiki/Iran
24,Sikkim Manipal University,"Sikkim, India",Asia,1995,Private,In-Person,390000,https://en.wikipedia.org/wiki/India
25,University of South Africa,"Pretoria, Gauteng, South Africa",Africa,1873,Public,Distance,370,https://en.wikipedia.org/wiki/South_Africa
26,State University of New York system,"New York, United States",North America,1948,Public,In-Person,363612,https://en.wikipedia.org/wiki/United_States
27,National Autonomous University of Mexico,"Mexico City, Mexico",North America,1551,Public,In-Person,356530,https://en.wikipedia.org/wiki/Mexico
28,National Centre for Distance Education,France,Europe,1939,Public,Distance,350000,https://en.wikipedia.org/wiki/France
29,University System of Georgia,"Georgia, United States",North America,1931,Public,In-Person,318027,https://en.wikipedia.org/wiki/United_States
30,University of Buenos Aires,"Buenos Aires, Argentina",South America,1821,Public,In-Person,316050,https://en.wikipedia.org/wiki/Argentina
30,Minnesota State Colleges and Universities,"Minnesota, United States",North America,1995,Public,In-Person,300000,https://en.wikipedia.org/wiki/United_States
31,Osmania University,"Hyderabad, Telangana, India",Asia,1918,Public,In-Person,300000,https://en.wikipedia.org/wiki/India
32,National University of Distance Education,Spain,Europe,1972,Public,Distance/In-Person,260079,https://en.wikipedia.org/wiki/Spain
33,Rajiv Gandhi Technical University,"Bhopal, Madhya Pradesh, India",Asia,1998,Public,In-Person,260000,https://en.wikipedia.org/wiki/India
34,Cairo University,"Giza, Egypt",Africa,1908,Public,In-Person,257200,https://en.wikipedia.org/wiki/Egypt
35,University of California system,"California, United States",North America,1869,Public,In-Person,256000,https://en.wikipedia.org/wiki/United_States
36,City University of New York,"New York, United States",North America,1961,Public,In-Person,243000,https://en.wikipedia.org/wiki/United_States
37,University of North Carolina system,"North Carolina, United States",North America,1789,Public,In-Person,242000,https://en.wikipedia.org/wiki/United_States
38,University of Texas System,"Texas, United States",North America,1881,Public,In-Person,221337,https://en.wikipedia.org/wiki/United_States
39,Estácio de Sá University,"Rio de Janeiro, Rio de Janeiro, Brazil",South America,1970,Private,In-Person,215000,https://en.wikipedia.org/wiki/Brazil
40,University of Guadalajara,"Guadalajara, Jalisco, Mexico",North America,1791,Public,In-Person,209406,https://en.wikipedia.org/wiki/Mexico
